F_0sum,F_10sum,F_15sum,F_1sum,F_20sum,F_25sum,F_30sum,F_35sum,F_40sum,F_45sum,F_50sum,F_55sum,F_5sum,F_60sum,F_65sum,F_70sum,F_75sum,F_80sum,M_0sum,M_10sum,M_15sum,M_1sum,M_20sum,M_25sum,M_30sum,M_35sum,M_40sum,M_45sum,M_50sum,M_55sum,M_5sum,M_60sum,M_65sum,M_70sum,M_75sum,M_80sum,_sum,id,.geo
7.25E-04,0.00418657,0.004590589,0.003708835,0.003756773,0.007581775,0.009396311,0.006216299,0.005437014,0.00579618,0.007656742,0.0081876,0.005308357,0.005025904,0.003976112,0.002922497,0.002265026,0.002278026,6.53E-04,0.00515336,0.004841079,0.00345626,0.004323628,0.007144614,0.007880478,0.006499231,0.005824713,0.006572187,0.009893122,0.009203449,0.006529492,0.004999704,0.005051692,0.003723982,0.002356792,0.001311907,0,630,"{""type"":""Polygon"",""coordinates"":[[[-68.19728636952155,12.213412783042514],[-68.19639901435868,12.211909148111078],[-68.19632769116878,12.212070398635223],[-68.19609134213465,12.21257163064466],[-68.19597098425814,12.214009853028216],[-68.19607796903715,12.214802973468911],[-68.19624745258113,12.215169070851191],[-68.19728636952155,12.213412783042514]]]}"
0.001808955,0.010451389,0.011459985,0.009258766,0.009378438,0.018927205,0.023457027,0.01551842,0.013573007,0.014469631,0.019114353,0.020439592,0.013251826,0.012546707,0.009925998,0.007295746,0.005654429,0.005686882,0.001630789,0.01286489,0.012085308,0.008628236,0.010793541,0.017835873,0.01967289,0.016224734,0.014540862,0.01640686,0.02469727,0.022975566,0.016300277,0.012481303,0.012611084,0.00929658,0.005883514,0.003275056,0,637,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-68.19593528513361,12.138864406505544],[-68.1959174487294,12.138890562899666],[-68.1959174487294,12.138894922298428]]},{""type"":""Polygon"",""coordinates"":[[[-68.19728636952155,12.13657566915666],[-68.19583716231351,12.134125671027624],[-68.19564993895872,12.135363761875373],[-68.19560081329806,12.13548145516229],[-68.19549828622603,12.135634047448056],[-68.19546708233486,12.135760529940953],[-68.19548491312979,12.135882578237807],[-68.19557406710518,12.136030793929528],[-68.19572126214084,12.136244361570695],[-68.19577475452796,12.136353396812488],[-68.19577475452796,12.136449320744944],[-68.19571234674302,12.136649846239097],[-68.1956811428508,12.136915736710934],[-68.1956811428508,12.137037799930383],[-68.19569897364633,12.137308134623975],[-68.19571234674302,12.137438860266236],[-68.19575246603327,12.13767428650841],[-68.19578812762481,12.137922745123802],[-68.1958549931095,12.138110231195263],[-68.19597989965631,12.13846335391928],[-68.19600218815182,12.138615939664586],[-68.1959888150545,12.138772826306484],[-68.19728636952155,12.13657566915666]]]}]}"
5.44E-04,0.003141217,0.003444356,0.002782769,0.002818737,0.005688666,0.007050127,0.004664139,0.004079435,0.00434892,0.005744915,0.006143222,0.003982903,0.003770976,0.002983308,0.002192773,0.001699467,0.001709221,4.90E-04,0.003866607,0.0036323,0.00259326,0.003244053,0.005360661,0.005912786,0.004876425,0.004370329,0.004931164,0.007422888,0.006905422,0.00489913,0.003751318,0.003790325,0.002794134,0.00176832,9.84E-04,0,638,"{""type"":""Polygon"",""coordinates"":[[[-68.19728636952156,12.125598412851328],[-68.19691628945675,12.124979375453377],[-68.19658187100997,12.125598396040298],[-68.19631431807078,12.126265485261925],[-68.19620287558844,12.126513909524148],[-68.19601556124917,12.12690198607089],[-68.19588173930359,12.127263801857273],[-68.19580150072169,12.127603802809253],[-68.19573463523757,12.128000546231345],[-68.19571234674302,12.128262134484652],[-68.19728636952156,12.125598412851328]]]}"
0.026889854,0.155358345,0.170350979,0.137630184,0.139409089,0.281350091,0.348685241,0.230679012,0.201760739,0.215088921,0.284132021,0.303831506,0.196986437,0.186504945,0.147548487,0.10845018,0.084052255,0.084534652,0.024241433,0.191234681,0.179646317,0.128257452,0.160444392,0.265127616,0.292434594,0.241178273,0.216147759,0.24388555,0.367121259,0.341528396,0.242301209,0.185532719,0.187461899,0.138192289,0.087457571,0.048683217,0,603,"{""type"":""Polygon"",""coordinates"":[[[-68.20700725609453,12.218899613256328],[-68.20376996107035,12.213412782146982],[-68.19728636952155,12.213412783042514],[-68.19624745258113,12.215169070851191],[-68.19645250675163,12.215631068321493],[-68.19661307490672,12.215844576959793],[-68.19666210960193,12.216114833186136],[-68.1962652833783,12.216594248591724],[-68.19601110355003,12.217195615628096],[-68.19602001894829,12.217871155756262],[-68.19618941151724,12.219200323155878],[-68.19656404021188,12.220111229483086],[-68.19688954325822,12.220586185284231],[-68.19719275782168,12.221200715721528],[-68.19748259929932,12.221396805014885],[-68.19775460998889,12.22170626394957],[-68.19813806320512,12.221823886215843],[-68.19882036435939,12.221850079137676],[-68.19899867240655,12.222006912127707],[-68.19935983719095,12.22207234135009],[-68.20017141183574,12.222316381833432],[-68.20052366128226,12.222586580339723],[-68.20132632066968,12.222895946267426],[-68.20191046171978,12.223057242902977],[-68.20232521008523,12.223375397229042],[-68.20257939016712,12.22366734895712],[-68.2027354098,12.223824234448253],[-68.20292272433801,12.223950637124144],[-68.20312332102021,12.22399422242024],[-68.203337381795,12.223985445407482],[-68.20350686553289,12.223928799512587],[-68.20371191993772,12.223880855932588],[-68.20365396977917,12.224133652823326],[-68.20385019975298,12.224246972151796],[-68.20700725609453,12.218899613256328]]]}"
0.02309292,0.133421248,0.146296873,0.11819636,0.119724077,0.241622554,0.299449765,0.198106393,0.173271474,0.184717674,0.244011666,0.260929522,0.169171318,0.160169847,0.126714167,0.093136666,0.072183806,0.072598087,0.020818465,0.164231729,0.154279679,0.110147087,0.137789128,0.227690744,0.251141892,0.207123126,0.185627001,0.209448127,0.315282555,0.293303488,0.208087498,0.159334902,0.160991676,0.118679093,0.075108281,0.04180899,0,604,"{""type"":""Polygon"",""coordinates"":[[[-68.20700725609453,12.207925766322955],[-68.20398393089292,12.202804760800099],[-68.20387694598075,12.202952946188338],[-68.20285131010118,12.203994603426581],[-68.2018168499516,12.20463963070829],[-68.20164736625814,12.204918535634208],[-68.20133969377832,12.204909807389663],[-68.2001357502193,12.205511285296481],[-68.1995649824366,12.206021224050394],[-68.19920827534189,12.206173688430832],[-68.19911020591208,12.20638726001619],[-68.19906108022424,12.206657521012438],[-68.19909228413333,12.206918958778507],[-68.19882482206052,12.207128234693835],[-68.19860630373599,12.207372237579698],[-68.19766099828202,12.209067613156003],[-68.19740236069681,12.20966907762397],[-68.19729528492162,12.210614822052397],[-68.1970946884233,12.21107672851362],[-68.19679147386461,12.211377477722722],[-68.19645250675163,12.211782781228994],[-68.19639901435868,12.211909148111078],[-68.19728636952155,12.213412783042514],[-68.20376996107035,12.213412782146982],[-68.20700725609453,12.207925766322955]]]}"
2.97E-04,0.00171432,0.001879758,0.001518697,0.001538326,0.003104591,0.003847608,0.002545455,0.002226353,0.002373424,0.003135288,0.003352665,0.00217367,0.002058011,0.001628141,0.001196706,9.27E-04,9.33E-04,2.67E-04,0.002110202,0.001982329,0.001415272,0.001770443,0.002925582,0.003226904,0.00266131,0.002385108,0.002691184,0.004051043,0.003768636,0.002673701,0.002047283,0.002068571,0.001524899,9.65E-04,5.37E-04,0,605,"{""type"":""Polygon"",""coordinates"":[[[-68.20700725609454,12.196951456760871],[-68.20593258495717,12.195129550842429],[-68.20594150036924,12.19545212895844],[-68.20611098417471,12.19588798108458],[-68.20630712324866,12.19638920492711],[-68.20643648770603,12.197016767063275],[-68.20652564183422,12.197382908400431],[-68.20653455724711,12.197674897196324],[-68.20656130348586,12.197705400282222],[-68.20700725609454,12.196951456760871]]]}"
0.004049127,0.023394163,0.025651782,0.020724621,0.020992492,0.042366245,0.052505702,0.034736095,0.030381525,0.032388509,0.042785154,0.04575154,0.029662602,0.028084278,0.022218139,0.016330639,0.012656752,0.012729393,0.003650322,0.028796491,0.027051493,0.019313257,0.024160029,0.039923433,0.044035371,0.036317095,0.032547951,0.036724762,0.055281833,0.051428011,0.036486188,0.027937878,0.028228378,0.020809264,0.013169531,0.007330814,0,608,"{""type"":""Polygon"",""coordinates"":[[[-68.20700725609453,12.16402132962201],[-68.20376996107035,12.158533265778953],[-68.20324822771032,12.158533308295533],[-68.20338641654212,12.158882029482665],[-68.20358264650783,12.159522805594113],[-68.20376996107035,12.160120016224809],[-68.20390814991327,12.160516679214089],[-68.20416233005733,12.161222837947879],[-68.20434072922663,12.161758976936248],[-68.20486682940607,12.163175663082265],[-68.20515221352596,12.163999529967443],[-68.20541085142415,12.164805908972586],[-68.20564720080327,12.165738731926707],[-68.20575418574442,12.16614411863753],[-68.20700725609453,12.16402132962201]]]}"
0.026329304,0.15211972,0.166799815,0.134761123,0.136502945,0.275485023,0.341416493,0.22587024,0.197554803,0.210605145,0.278208959,0.297497787,0.192880027,0.182617034,0.144472668,0.106189411,0.082300088,0.082772429,0.023736092,0.187248172,0.175901381,0.125583776,0.157099742,0.259600724,0.286338459,0.236150634,0.211641909,0.238801474,0.35946819,0.334408842,0.237250159,0.181665075,0.183554039,0.135311511,0.085634416,0.047668359,0,609,"{""type"":""Polygon"",""coordinates"":[[[-68.20700725609453,12.153045187477503],[-68.20376996107035,12.147556929152],[-68.1983120045057,12.147556887047445],[-68.19834766611184,12.14759180022069],[-68.19849477023936,12.147635390599689],[-68.19856618442742,12.14784900555971],[-68.19890506068117,12.148624902677422],[-68.19919935993912,12.149283197776617],[-68.19952486312197,12.149910854216913],[-68.19985482402339,12.150638851082558],[-68.2000064768614,12.150965788151602],[-68.20018924264404,12.151432251330444],[-68.20041667642765,12.151968410017474],[-68.20046571115245,12.152116645604355],[-68.20065302562418,12.152635366506882],[-68.20096515577359,12.15335468831245],[-68.20129511674962,12.154222154794487],[-68.20163845085196,12.154980646606406],[-68.20214681097148,12.15611834593625],[-68.20241882186083,12.1567024416307],[-68.20256146837863,12.157072979657311],[-68.20274878291158,12.157526372491779],[-68.20290043581815,12.157861973690535],[-68.20322593918932,12.158480991013507],[-68.20324822771032,12.158533308295533],[-68.20376996107035,12.158533265778953],[-68.20700725609453,12.153045187477503]]]}"
0.045558205,0.26321628,0.28861759,0.233180298,0.236194212,0.476678124,0.59076088,0.390828514,0.34183366,0.364414966,0.481391415,0.514767325,0.333744783,0.315986489,0.24998441,0.183742,0.142405752,0.143223055,0.041071111,0.323999857,0.304366241,0.217300522,0.271833329,0.449193153,0.495458078,0.408616918,0.366208904,0.413203729,0.621996147,0.578635375,0.410519455,0.314339293,0.31760781,0.234132647,0.148175217,0.082481667,0,610,"{""type"":""Polygon"",""coordinates"":[[[-68.20700725609453,12.142068509226986],[-68.20376996107035,12.136575700705682],[-68.19728636952155,12.13657566915666],[-68.1959888150545,12.138772826306484],[-68.1959888150545,12.138781539406779],[-68.19593532266555,12.138864435476597],[-68.19591749186932,12.138894944470364],[-68.19589511240068,12.138969055914453],[-68.19590848549778,12.139034435548755],[-68.19596652655905,12.139126011544983],[-68.19603339204568,12.139256782776442],[-68.1960378497448,12.139391874425367],[-68.19604230744395,12.139548831382402],[-68.19608242673631,12.13980168976605],[-68.19612254602895,12.14000654400586],[-68.19621179098694,12.140307339372246],[-68.19623853718258,12.14046867941305],[-68.19643467595392,12.142029292002299],[-68.19656404021188,12.142565534421356],[-68.19660861720718,12.142657075931949],[-68.19670222889829,12.142739909981376],[-68.19684496626093,12.14288810871274],[-68.19703218965168,12.143236843835005],[-68.19717046932192,12.143659729792832],[-68.19727299642147,12.144004049081175],[-68.1974246491974,12.144444398143563],[-68.19766991368263,12.145006716340182],[-68.19780364469307,12.145346786018724],[-68.19790171410254,12.145425222558385],[-68.19796867058335,12.145451365054793],[-68.19799541678648,12.145494997170335],[-68.19799987448701,12.145542960896409],[-68.19793291800588,12.145656238848467],[-68.19788834100115,12.145830628446994],[-68.1979240026049,12.146087825145921],[-68.1979820436849,12.146301404050794],[-68.19804445149252,12.146558665560292],[-68.19815589400768,12.146785353714781],[-68.19823176589259,12.147073072554129],[-68.1982362235933,12.147408679372653],[-68.19827634289975,12.147517699119167],[-68.1983120045057,12.147556887047445],[-68.20376996107035,12.147556929152],[-68.20700725609453,12.142068509226986]]]}"
0.047475615,0.274294276,0.30076465,0.242994167,0.246134927,0.496740097,0.615624259,0.407277333,0.356220426,0.379752114,0.501651759,0.536432356,0.347791113,0.329285426,0.260505513,0.191475157,0.148399189,0.149250889,0.042799673,0.33763605,0.317176115,0.226446058,0.28327399,0.468098367,0.516310441,0.425814397,0.381621553,0.43059425,0.648174125,0.602988427,0.427797003,0.327568904,0.330974984,0.243986596,0.154411474,0.085953076,0,611,"{""type"":""Polygon"",""coordinates"":[[[-68.20700725609454,12.131087104555734],[-68.20376996107035,12.12559846035924],[-68.19728636952156,12.125598412851328],[-68.19571234674302,12.128262134484652],[-68.19569897364634,12.128406019441924],[-68.19573017753866,12.12868063462433],[-68.19576583913008,12.128950932096668],[-68.19577921222691,12.12917328943091],[-68.19573463523757,12.12983159547893],[-68.19563656586217,12.130877894987028],[-68.19560527099688,12.131087132926044],[-68.1955517786112,12.131475124342149],[-68.19556069400879,12.131645174727636],[-68.19557406710518,12.13176282381399],[-68.1955829825028,12.131876161354493],[-68.19557406710518,12.132394973399224],[-68.19560081329806,12.132713207259282],[-68.19564102356101,12.132974766532707],[-68.19570788904413,12.133149172572585],[-68.19577475452796,12.133380211065354],[-68.19582824691554,12.133707222918357],[-68.1958416200125,12.134112639691846],[-68.19583716231351,12.134125671027624],[-68.19728636952155,12.13657566915666],[-68.20376996107035,12.136575700705682],[-68.20700725609454,12.131087104555734]]]}"
